station	valid	       tmpf	dwpf	sknt	mslp	p01m
MLB	8/1/25 0:53	86	76	8	1017.3	0
MLB	8/1/25 1:53	85	76	8	1017.7	0
MLB	8/1/25 2:53	83	76	5	1018.7	0
MLB	8/1/25 3:53	84	75	7	1018.9	0
MLB	8/1/25 4:53	84	76	6	1018.8	0
MLB	8/1/25 5:53	83	75	5	1019	0
MLB	8/1/25 6:53	82	75	6	1018.6	0
MLB	8/1/25 7:53	81	75	5	1018.4	0
MLB	8/1/25 8:53	81	76	0	1018.4	0
MLB	8/1/25 9:53	80	76	3	1018.7	0
MLB	8/1/25 10:53	79	76	6	1019.1	0
MLB	8/1/25 11:53	82	75	0	1019.6	0
MLB	8/1/25 12:53	85	77	3	1020.1	0
MLB	8/1/25 13:53	87	77	3	1020.3	0
MLB	8/1/25 14:53	89	76	0	1020.6	0
MLB	8/1/25 15:53	89	77	7	1020.6	0
MLB	8/1/25 16:53	90	77	10	1020.3	0
MLB	8/1/25 17:53	90	77	11	1019.2	0
MLB	8/1/25 18:20	92	77	11	M	0
MLB	8/1/25 18:53	82	72	19	1020.6	T
MLB	8/1/25 19:02	80	73	18	M	1.27
MLB	8/1/25 19:09	80	71	12	M	2.79
MLB	8/1/25 19:15	79	74	9	M	3.56
MLB	8/1/25 19:26	79	74	10	M	3.81
MLB	8/1/25 19:36	79	74	6	M	4.06
MLB	8/1/25 19:53	81	75	5	1019.7	4.06
MLB	8/1/25 20:53	87	75	11	1018.8	0
MLB	8/1/25 21:22	87	76	9	M	0
MLB	8/1/25 21:53	86	76	15	1019.4	0
MLB	8/1/25 22:10	80	74	13	M	0
MLB	8/1/25 22:31	78	74	16	M	2.03
MLB	8/1/25 22:48	77	73.4	6	M	8.38
MLB	8/1/25 22:53	78	73	6	1019.4	8.64
MLB	8/1/25 23:00	78	74	4	M	T
MLB	8/1/25 23:53	78	74	9	1020.4	T
MLB	8/2/25 0:53	78	74	4	1019.6	0
MLB	8/2/25 1:53	77	74	4	1019.6	0
MLB	8/2/25 2:53	77	74	0	1019.7	0
MLB	8/2/25 3:53	77	74	3	1019.6	0
MLB	8/2/25 4:53	77	74	5	1019.3	0
MLB	8/2/25 5:53	77	75	0	1018.9	0
MLB	8/2/25 6:53	77	75	0	1018.9	0
MLB	8/2/25 7:53	76	74	3	1018.8	0
