Year	Jan	    Feb	    Mar	    Apr	    May	     Jun	 Jul	Aug	    Sep	    Oct	     Nov	Dec
1979	1.015	0.705	0.173	-0.152	-0.096	-1.127	-0.877	0.659	-0.366	-0.024	-0.213	0.341
1980	-0.737	-0.462	0.412	-0.337	0.759	-0.131	0.566	-0.975	0.106	-0.086	0.351	-0.833
1981	-0.59	0.388	0.817	0.718	-0.685	-0.494	-0.422	0.317	-0.91	-0.571	-0.842	-0.213
1982	-0.67	-0.313	-0.171	-0.17	-0.048	0.437	2.219	1.649	1.888	1.948	2.956	1.962
1983	2.469	2.06	1.545	1.436	1.537	1.421	-1.063	-0.054	-0.529	-0.722	-0.563	-0.858
1984	-1.252	-1.334	-0.853	-1.439	-1.617	-1.126	-1	-1.283	-1.366	-0.667	0.11	-0.608
1985	-0.068	-0.862	0.133	-0.878	-1.271	-0.651	-0.501	-0.527	-0.862	-0.516	-0.695	-0.295
1986	-1.193	-0.543	-1.616	-1.081	0.212	-0.203	-0.03	0.071	0.021	0.077	0.137	1.808
1987	0.512	1.106	1.524	2.018	2.15	1.302	2.22	0.765	1.731	0.804	0.312	0.339
1988	0.045	0.064	-0.834	0.497	-0.82	-0.742	-0.582	-1.222	-1.195	-1.099	-1.85	-0.873
1989	-0.783	-0.869	-0.765	-0.655	-0.721	-0.01	-0.221	-0.778	0.005	-0.707	-0.249	0.259
1990	0.093	0.981	0.741	0.482	0.173	-0.537	0.308	0.362	-0.04	-0.163	0.284	0.721
1991	-0.016	-0.073	0.625	-0.028	0.777	1.275	0.838	0.957	0.905	0.703	1.523	0.593
1992	2.363	1.624	2.572	1.665	1.716	0.842	0.039	-0.112	0.434	-0.91	0.624	0.356
1993	0.166	0.708	0.705	1.339	1.117	0.732	0.21	0.579	0.155	0.776	0.173	0.154
1994	0.126	-0.137	-0.811	0.269	0.161	0.598	1.021	0.707	1.279	1.279	0.847	1.145
1995	0.345	-0.099	-0.52	0.389	0.139	-0.097	-0.172	-1.372	-1.141	-0.514	-1.216	-0.908
1996	-0.985	-1.228	-0.222	-0.639	-0.412	-0.161	-0.427	-0.511	-0.439	-0.966	-0.635	-1.051
1997	0.177	-0.898	1.262	1.248	2.136	3.531	1.957	2.994	3.06	3.203	2.133	2.285
1998	2.476	1.968	1.347	1.119	1.01	-0.882	-0.27	-0.97	-1.173	-1.013	-1.084	-0.984
1999	-1.148	-0.802	-0.978	-1.697	-1.314	-0.607	-0.961	-1.303	-0.292	-0.923	-0.739	-1.069
2000	-1.001	-0.951	-0.752	-0.982	-0.693	-1.628	0.046	-1.16	0.287	-1.174	-0.708	-0.472
2001	-0.937	-1.1	-0.975	-0.866	-0.177	-0.976	0.472	-0.176	0.098	-0.396	-0.744	0.373
2002	-0.054	0.605	0.273	-0.126	0.211	0.449	1.703	0.94	1.777	1.503	0.912	1.529
2003	0.819	0.225	-0.053	0.302	-0.295	1.098	-0.466	-0.051	-0.557	-0.362	0.085	-0.43
2004	0.284	-0.132	0.035	0.965	-1.515	0.39	-0.019	1.561	-0.019	0.38	0.536	0.371
2005	-0.095	1.112	-0.092	-0.077	0.146	0.343	-0.749	-0.057	-0.474	-0.507	-0.851	-1.162
2006	-0.614	-0.885	-0.89	-1.053	-0.177	-0.775	0.442	0.341	0.1	1.346	1.552	0.425
2007	0.216	0.091	-0.211	-0.388	-0.196	-0.707	-1.406	-0.612	-0.951	-0.455	-0.788	-0.985
2008	-0.255	-1.184	-1.104	-1.307	-0.682	-0.883	-0.84	-0.8	-0.482	-0.883	-1.17	-1.16
2009	-0.687	-0.964	-0.7	-0.869	-0.632	0.298	0.324	0.872	0.288	0.714	-0.247	1.216
2010	1.006	2.006	0.625	0.663	-0.186	-0.805	-1.175	-1.686	-1.168	-1.389	-0.83	-0.996
2011	-0.955	-0.977	-1.668	-1.101	-0.946	-1.141	-0.425	-0.049	-0.735	-0.235	-0.447	-1.291
2012	-0.735	-0.525	-1.375	-0.408	-1.035	-0.556	-0.677	0.279	0.05	0.174	-0.191	-0.152
2013	-0.49	-0.788	0.287	0.876	-0.873	-0.716	-2.06	-0.747	-0.751	-0.182	-0.456	-0.809
2014	-0.301	0.458	0.775	1.31	0.662	0.508	0.111	0.144	0.21	0.557	0.159	-0.362
2015	-0.009	-0.031	0.95	1.244	3.021	1.6	3.767	2.329	2.186	2.305	0.953	2.059
2016	2.264	1.733	1.182	0.989	0.073	-0.51	-0.958	-0.31	-1.354	-1.223	-0.488	-0.667
2017	-1.001	-0.641	-0.762	-0.428	-1.019	-0.761	-1.378	-0.504	-1.372	-0.673	-1.134	-0.717
2018	-0.848	-0.242	-0.47	-0.319	-0.117	0.178	-0.055	0.11	0.119	0.267	0.367	0.288
2019	0.193	1.289	1.023	0.301	1.102	-0.317	0.754	0.596	1.113	0.271	1.025	0.457
2020	0.423	0.655	-0.096	-0.694	-0.521	-0.691	-1.056	-0.489	-0.703	-1.303	-0.902	-0.898
2021	-1.159	-0.532	-0.913	-0.442	-1.185	0.283	-0.603	-0.921	-1.251	-0.563	-1.202	-1.425
2022	-0.333	-1.218	-0.892	-1.124	-0.905	-0.648	-1.831	-1.23	-1.162	-1.198	-0.79	-1.25
2023	-1.04	-0.794	-0.503	-0.148	0.093	0.265	-0.244	1.009	0.801	1.312	-9999	-9999
