KMLB	                TMPF	DWPF
9-10-2025 0:05 GMT	75.2	73.4
9-10-2025 0:10 GMT	75.2	73.4
9-10-2025 0:15 GMT	75.2	73.4
9-10-2025 0:20 GMT	75.2	73.4
9-10-2025 0:25 GMT	75.2	73.4
9-10-2025 0:30 GMT	75.2	73.4
9-10-2025 0:35 GMT	75.2	73.4
9-10-2025 0:40 GMT	75.2	73.4
9-10-2025 0:45 GMT	75.2	73.4
9-10-2025 0:50 GMT	75.2	73.4
9-10-2025 0:53 GMT	75	73
9-10-2025 0:55 GMT	75.2	73.4
9-10-2025 1:00 GMT	75.2	73.4
9-10-2025 1:05 GMT	75.2	73.4
9-10-2025 1:10 GMT	75.2	73.4
9-10-2025 1:15 GMT	75.2	73.4
9-10-2025 1:20 GMT	75.2	73.4
9-10-2025 1:25 GMT	75.2	73.4
9-10-2025 1:30 GMT	75.2	73.4
9-10-2025 1:35 GMT	75.2	73.4
9-10-2025 1:40 GMT	75.2	73.4
9-10-2025 1:45 GMT	75.2	73.4
9-10-2025 1:50 GMT	75.2	73.4
9-10-2025 1:53 GMT	75	73.9
9-10-2025 1:55 GMT	75.2	73.4
9-10-2025 2:00 GMT	75.2	73.4
9-10-2025 2:01 GMT	75.9	73.9
9-10-2025 2:05 GMT	75.2	73.4
9-10-2025 2:08 GMT	75.9	75
9-10-2025 2:10 GMT	75.2	75.2
9-10-2025 2:15 GMT	75.2	75.2
9-10-2025 2:20 GMT	75.2	75.2
9-10-2025 2:22 GMT	75.9	75
9-10-2025 2:25 GMT	75.2	75.2
9-10-2025 2:30 GMT	75.2	75.2
9-10-2025 2:35 GMT	75.2	75.2
9-10-2025 2:40 GMT	75.2	75.2
9-10-2025 2:45 GMT	75.2	75.2
9-10-2025 2:50 GMT	75.2	75.2
9-10-2025 2:53 GMT	75.9	75
9-10-2025 2:55 GMT	75.2	75.2
9-10-2025 3:00 GMT	75.2	75.2
9-10-2025 3:05 GMT	75.2	73.4
9-10-2025 3:10 GMT	75.2	73.4
9-10-2025 3:15 GMT	75.2	73.4
9-10-2025 3:20 GMT	75.2	73.4
9-10-2025 3:25 GMT	75.2	73.4
9-10-2025 3:30 GMT	75.2	73.4
9-10-2025 3:35 GMT	75.2	73.4
9-10-2025 3:40 GMT	75.2	73.4
9-10-2025 3:45 GMT	75.2	73.4
9-10-2025 3:50 GMT	75.2	73.4
9-10-2025 3:53 GMT	75.9	73.9
9-10-2025 3:55 GMT	75.2	73.4
9-10-2025 4:00 GMT	75.2	73.4
9-10-2025 4:05 GMT	75.2	73.4
9-10-2025 4:10 GMT	75.2	73.4
9-10-2025 4:15 GMT	75.2	73.4
9-10-2025 4:20 GMT	75.2	75.2
9-10-2025 4:25 GMT	75.2	75.2
9-10-2025 4:30 GMT	75.2	75.2
9-10-2025 4:35 GMT	75.2	75.2
9-10-2025 4:40 GMT	75.2	75.2
9-10-2025 4:45 GMT	75.2	73.4
9-10-2025 4:50 GMT	75.2	73.4
9-10-2025 4:53 GMT	75.9	73.9
9-10-2025 4:55 GMT	75.2	73.4
9-10-2025 5:00 GMT	75.2	73.4
9-10-2025 5:05 GMT	75.2	73.4
9-10-2025 5:10 GMT	75.2	73.4
9-10-2025 5:15 GMT	75.2	73.4
9-10-2025 5:20 GMT	75.2	73.4
9-10-2025 5:24 GMT	75.9	73.9
9-10-2025 5:25 GMT	75.2	73.4
9-10-2025 5:30 GMT	75.2	73.4
9-10-2025 5:35 GMT	75.2	73.4
9-10-2025 5:40 GMT	75.2	73.4
9-10-2025 5:45 GMT	75.2	73.4
9-10-2025 5:50 GMT	75.2	73.4
9-10-2025 5:53 GMT	75.9	73.9
9-10-2025 5:55 GMT	75.2	73.4
9-10-2025 6:00 GMT	75.2	73.4
9-10-2025 6:05 GMT	75.2	73.4
9-10-2025 6:10 GMT	75.2	73.4
9-10-2025 6:15 GMT	75.2	73.4
9-10-2025 6:20 GMT	75.2	73.4
9-10-2025 6:25 GMT	75.2	73.4
9-10-2025 6:30 GMT	75.2	75.2
9-10-2025 6:31 GMT	75.9	75
9-10-2025 6:35 GMT	75.2	75.2
9-10-2025 6:40 GMT	75.2	73.4
9-10-2025 6:45 GMT	75.2	73.4
9-10-2025 6:50 GMT	75.2	73.4
9-10-2025 6:53 GMT	75.9	73.9
9-10-2025 6:55 GMT	75.2	73.4
9-10-2025 7:00 GMT	75.9	73.9
9-10-2025 7:05 GMT	75.2	73.4
9-10-2025 7:10 GMT	75.2	73.4
9-10-2025 7:15 GMT	75.2	73.4
9-10-2025 7:20 GMT	75.2	73.4
9-10-2025 7:25 GMT	75.2	73.4
9-10-2025 7:30 GMT	75.2	73.4
9-10-2025 7:35 GMT	75.2	73.4
9-10-2025 7:40 GMT	75.2	73.4
9-10-2025 7:45 GMT	75.2	73.4
9-10-2025 7:50 GMT	75.2	73.4
9-10-2025 7:53 GMT	75	73.9
9-10-2025 7:55 GMT	75.2	73.4
9-10-2025 8:00 GMT	75.2	73.4
9-10-2025 8:05 GMT	75.2	73.4
9-10-2025 8:10 GMT	75.2	73.4
9-10-2025 8:15 GMT	75.2	73.4
9-10-2025 8:20 GMT	75.2	73.4
9-10-2025 8:25 GMT	75.2	73.4
9-10-2025 8:30 GMT	75.2	73.4
9-10-2025 8:31 GMT	75	73.9
9-10-2025 8:35 GMT	75.2	73.4
9-10-2025 8:40 GMT	75.2	73.4
9-10-2025 8:45 GMT	75.2	73.4
9-10-2025 8:50 GMT	75.2	73.4
9-10-2025 8:53 GMT	75	73.9
9-10-2025 8:55 GMT	75.2	73.4
9-10-2025 9:00 GMT	75.2	73.4
9-10-2025 9:05 GMT	75.2	73.4
9-10-2025 9:10 GMT	75	73.9
9-10-2025 9:15 GMT	75.2	73.4
9-10-2025 9:20 GMT	75.2	73.4
9-10-2025 9:25 GMT	75.2	73.4
9-10-2025 9:30 GMT	75.2	73.4
9-10-2025 9:35 GMT	75.2	73.4
9-10-2025 9:40 GMT	75.2	73.4
9-10-2025 9:45 GMT	75.2	73.4
9-10-2025 9:50 GMT	75.2	73.4
9-10-2025 9:53 GMT	75	73.9
9-10-2025 9:55 GMT	75.2	73.4
9-10-2025 10:00 GMT	75.2	73.4
9-10-2025 10:05 GMT	73.4	73.4
9-10-2025 10:10 GMT	73.4	73.4
9-10-2025 10:15 GMT	73.4	73.4
9-10-2025 10:20 GMT	73.4	73.4
9-10-2025 10:25 GMT	75.2	73.4
9-10-2025 10:30 GMT	75.2	73.4
9-10-2025 10:35 GMT	75.2	73.4
9-10-2025 10:40 GMT	75.2	73.4
9-10-2025 10:45 GMT	75.2	73.4
9-10-2025 10:50 GMT	75.2	73.4
9-10-2025 10:53 GMT	75	73.9
9-10-2025 10:55 GMT	75.2	73.4
9-10-2025 11:00 GMT	75.2	73.4
9-10-2025 11:05 GMT	75.2	73.4
9-10-2025 11:07 GMT	75	73.9
9-10-2025 11:10 GMT	75.2	73.4
9-10-2025 11:15 GMT	73.4	73.4
9-10-2025 11:20 GMT	73.4	73.4
9-10-2025 11:25 GMT	73.4	73.4
9-10-2025 11:30 GMT	73.4	73.4
