TALLAHASSEE REGIONAL AP,,,,,,
date,mint,avgt,maxt,pcpn,snow,snwd
1/1/25,37,50.5,64,0,0,0
1/2/25,31,47,63,0,0,0
1/3/25,29,48,67,0,0,M
1/4/25,33,47,61,0,0,M
1/5/25,42,52.5,63,0,0,0
1/6/25,38,55.5,73,0.07,0,0
1/7/25,29,40,51,0,0,0
1/8/25,28,41,54,0,0,0
1/9/25,30,42,54,0,0,0
1/10/25,34,46.5,59,0.37,0,0
1/11/25,28,43,58,0.02,0,0
1/12/25,23,40,57,T,0,0
1/13/25,43,46,49,2.43,0,0
1/14/25,37,48.5,60,0,0,M
1/15/25,38,49.5,61,0,0,M
1/16/25,37,51,65,0.01,0,M
1/17/25,30,49,68,0,0,M
1/18/25,41,56,71,0.59,0,M
1/19/25,37,50.5,64,0.21,M,M
1/20/25,31,39,47,0,0,0
1/21/25,31,40.5,50,0.59,1.5,2
1/22/25,25,33.5,42,0.15,0.4,2
1/23/25,21,34.5,48,0,0,M
1/24/25,20,36.5,53,0,0,M
1/25/25,21,40,59,0,0,M
1/26/25,26,47,68,0,0,0
1/27/25,38,52.5,67,T,0,0
1/28/25,43,55,67,0,0,0
1/29/25,38,57.5,77,0,0,0
1/30/25,43,59.5,76,0,0,0
1/31/25,46,62,78,0.05,0,0
2/1/25,43,58.5,74,0,0,0
2/2/25,39,58.5,78,0,0,0
2/3/25,42,58.5,75,0,0,0
2/4/25,55,68.5,82,0,0,0
2/5/25,51,66,81,0,0,0
2/6/25,60,70,80,0,0,0
2/7/25,61,68.5,76,0,0,0
2/8/25,62,70.5,79,0,0,0
2/9/25,63,73,83,0,0,0
2/10/25,63,72.5,82,0,0,0
2/11/25,59,67,75,0,0,M
2/12/25,65,72,79,0,0,0
2/13/25,61,67.5,74,0.85,0,0
2/14/25,51,62.5,74,0,0,0
2/15/25,60,68.5,77,T,0,0
2/16/25,53,63.5,74,0.38,0,0
2/17/25,40,51,62,0,0,M
2/18/25,33,50,67,0,0,0
2/19/25,51,54.5,58,1.47,0,0
2/20/25,39,46,53,0,0,0
2/21/25,32,43,54,0,0,0
2/22/25,37,51.5,66,0,0,0
2/23/25,38,49,60,0.21,0,0
2/24/25,50,55.5,61,0.11,0,0
2/25/25,51,64,77,0,0,0
2/26/25,41,61,81,0,0,0
2/27/25,42,60.5,79,0,0,0
2/28/25,40,58.5,77,0,0,0
3/1/25,40,60,80,0,0,0
3/2/25,44,56,68,0,0,0
3/3/25,35,53,71,0,0,0
3/4/25,52,65.5,79,0,0,0
3/5/25,55,66,77,0.64,0,0
3/6/25,43,55.5,68,0,0,0
3/7/25,35,54.5,74,0,0,0
3/8/25,48,59,70,0.39,0,0
3/9/25,55,62.5,70,4.25,0,0
3/10/25,45,55,65,0.06,0,0
3/11/25,41,60,79,0,0,M
3/12/25,40,59.5,79,0,0,M
3/13/25,47,62.5,78,0.02,0,0
3/14/25,54,67,80,0,0,M
3/15/25,56,68,80,0,0,M
3/16/25,61,71,81,0.26,0,0
3/17/25,47,59.5,72,0,0,0
3/18/25,36,59,82,0,0,0
3/19/25,37,59,81,0,0,0
3/20/25,49,62,75,0.09,0,0
3/21/25,38,54.5,71,0,0,0
3/22/25,35,56,77,0,0,0
3/23/25,43,61.5,80,0,0,M
3/24/25,47,62,77,0.01,0,0
3/25/25,52,67,82,0,0,0
3/26/25,52,69.5,87,0,0,0
3/27/25,50,67.5,85,0,0,0
3/28/25,53,67.5,82,0,0,0
3/29/25,65,73.5,82,0,0,0
3/30/25,68,71.5,75,0.12,0,0
3/31/25,64,72,80,0.42,0,0
4/1/25,57,70.5,84,0,0,0
4/2/25,69,79,89,0,0,0
4/3/25,70,77.5,85,0,0,M
4/4/25,68,76.5,85,0,0,M
4/5/25,65,75.5,86,0,0,M
4/6/25,64,74,84,0,0,0
4/7/25,57,67.5,78,2.47,0,0
4/8/25,50,62,74,0,0,0
4/9/25,47,62.5,78,0,0,0
4/10/25,46,64.5,83,0,0,0
4/11/25,54,68.5,83,T,0,0
4/12/25,48,61.5,75,0,0,0
4/13/25,39,59.5,80,0,0,0
4/14/25,44,64,84,0,0,M
4/15/25,51,68,85,0,0,M
4/16/25,41,60.5,80,0,0,M
4/17/25,44,64.5,85,0,0,0
4/18/25,50,67.5,85,0,0,M
4/19/25,56,70.5,85,0,0,M
4/20/25,62,72.5,83,0,0,0
4/21/25,59,72,85,0,0,M
4/22/25,57,73,89,0,0,0
4/23/25,61,76,91,0,0,M
4/24/25,65,75.5,86,0,0,0
4/25/25,65,75.5,86,0,0,0
4/26/25,65,78,91,0,0,0
4/27/25,61,77.5,94,0,0,M
4/28/25,61,77.5,94,T,0,M
4/29/25,66,77,88,0.01,0,M
4/30/25,65,76.5,88,0,0,M
5/1/25,65,76.5,88,0,0,0
5/2/25,62,75.5,89,0,0,0
5/3/25,61,71.5,82,0.9,0,0
5/4/25,64,74,84,0.02,0,0
5/5/25,55,70.5,86,0,0,0
5/6/25,58,73,88,0,0,0
5/7/25,68,76.5,85,T,0,0
5/8/25,71,80.5,90,0,0,0
5/9/25,69,78,87,0.05,0,0
5/10/25,68,76.5,85,0.12,0,0
5/11/25,70,72.5,75,0.86,0,0
5/12/25,66,75,84,0.14,0,0
5/13/25,62,73.5,85,0,0,0
5/14/25,63,77,91,0,0,0
5/15/25,66,81,96,T,0,M
5/16/25,68,83,98,0,0,0
5/17/25,72,84,96,0,0,0
5/18/25,74,84,94,0,0,0
5/19/25,71,82.5,94,0,0,M
5/20/25,67,81.5,96,T,0,M
5/21/25,74,82.5,91,0.99,0,0
5/22/25,66,79,92,0,0,0
5/23/25,62,78.5,95,0,0,M
5/24/25,65,80.5,96,0,0,0
5/25/25,72,82.5,93,0.1,0,0
5/26/25,70,81,92,0,0,0
5/27/25,71,81.5,92,T,0,0
5/28/25,73,84,95,0.01,0,M
5/29/25,69,75.5,82,0.24,0,M
5/30/25,67,80,93,T,0,M
5/31/25,65,76,87,0,0,M
6/1/25,58,74,90,0,0,M
6/2/25,64,77.5,91,0,0,M
6/3/25,69,81,93,0.08,0,M
6/4/25,74,80.5,87,0.64,0,M
6/5/25,72,80.5,89,0.05,0,0
6/6/25,74,84,94,0.57,0,0
6/7/25,76,83.5,91,0.17,0,0
6/8/25,76,85,94,0.01,0,0
6/9/25,77,83.5,90,0.08,0,M
