Date,Max Temperature,Min Temperature
2025-02-01,28.9,20.6
2025-02-02,27.8,21.7
2025-02-03,27.8,22.8
2025-02-04,27.8,21.1
2025-02-05,27.2,20.6
2025-02-06,27.2,20.6
2025-02-07,27.8,20.0
2025-02-08,27.8,20.0
2025-02-09,28.3,21.1
2025-02-10,27.8,20.0
2025-02-11,27.2,22.2
2025-02-12,27.8,21.7
2025-02-13,28.9,23.9
2025-02-14,28.9,22.8
2025-02-15,27.8,22.8
2025-02-16,29.4,22.8
2025-02-17,27.2,20.6
2025-02-18,28.3,20.0
2025-02-19,28.9,20.6
2025-02-20,25.6,17.2
2025-02-21,23.9,15.0
2025-02-22,23.9,18.9
2025-02-23,25.6,17.8
2025-02-24,22.8,19.4
2025-02-25,26.1,18.3
2025-02-26,27.2,16.1
2025-02-27,27.2,17.8
2025-02-28,27.2,17.2
