Date,Max Temperature,Min Temperature
2025-02-01,28.3,16.1
2025-02-02,20.6,17.8
2025-02-03,25.0,18.9
2025-02-04,25.0,20.0
2025-02-05,26.1,17.8
2025-02-06,27.8,15.6
2025-02-07,26.1,15.6
2025-02-08,26.7,16.7
2025-02-09,26.1,15.0
2025-02-10,27.2,15.6
2025-02-11,25.0,15.6
2025-02-12,25.6,15.6
2025-02-13,29.4,15.6
2025-02-14,30.6,20.6
2025-02-15,23.9,20.0
2025-02-16,26.1,20.6
2025-02-17,29.4,13.3
2025-02-18,19.4,13.3
2025-02-19,22.8,15.0
2025-02-20,27.8,14.4
2025-02-21,16.1,5.6
2025-02-22,17.2,5.6
2025-02-23,20.6,12.2
2025-02-24,21.7,11.7
2025-02-25,21.1,16.7
2025-02-26,20.6,12.8
2025-02-27,23.9,12.8
2025-02-28,26.7,13.3
