Date,Max Temperature,Min Temperature
2024-02-01,18.9,-0.5
2024-02-02,21.7,3.9
2024-02-03,23.9,1.7
2024-02-04,19.4,10.0
2024-02-05,18.3,8.3
2024-02-06,20.6,5.0
2024-02-07,20.0,0.6
2024-02-08,21.7,1.7
2024-02-09,23.3,7.8
2024-02-10,24.4,9.4
2024-02-11,25.0,14.4
2024-02-12,22.8,15.0
2024-02-13,17.8,4.4
2024-02-14,21.1,0.6
2024-02-15,21.1,6.7
2024-02-16,20.0,8.3
2024-02-17,17.8,10.0
2024-02-18,11.1,3.3
2024-02-19,18.9,0.6
2024-02-20,21.1,-1.6
2024-02-21,21.7,0.0
2024-02-22,21.7,1.7
2024-02-23,26.7,10.6
2024-02-24,24.4,3.9
2024-02-25,22.8,2.2
2024-02-26,23.3,1.1
2024-02-27,25.0,10.6
2024-02-28,26.7,16.1
2024-02-29,21.7,11.7
