station,valid,drct,sknt,gust
MLB,2024-01-01 00:53,0.00,0.00,M
MLB,2024-01-01 01:53,0.00,0.00,M
MLB,2024-01-01 02:53,0.00,0.00,M
MLB,2024-01-01 03:53,0.00,0.00,M
MLB,2024-01-01 04:53,220.00,5.00,M
MLB,2024-01-01 05:53,0.00,0.00,M
MLB,2024-01-01 06:53,0.00,0.00,M
MLB,2024-01-01 07:53,280.00,5.00,M
MLB,2024-01-01 08:53,0.00,0.00,M
MLB,2024-01-01 09:53,0.00,0.00,M
MLB,2024-01-01 10:53,0.00,0.00,M
MLB,2024-01-01 11:53,0.00,0.00,M
MLB,2024-01-01 12:53,200.00,3.00,M
MLB,2024-01-01 13:53,0.00,0.00,M
MLB,2024-01-01 14:53,300.00,5.00,M
MLB,2024-01-01 15:53,290.00,7.00,M
MLB,2024-01-01 16:53,290.00,8.00,M
MLB,2024-01-01 17:53,310.00,13.00,M
MLB,2024-01-01 18:53,280.00,10.00,M
MLB,2024-01-01 19:53,290.00,11.00,M
MLB,2024-01-01 20:53,280.00,6.00,M
MLB,2024-01-01 21:53,300.00,3.00,M
MLB,2024-01-01 22:53,0.00,0.00,M
MLB,2024-01-01 23:53,160.00,6.00,M
MLB,2024-01-02 00:53,190.00,4.00,M
MLB,2024-01-02 01:53,200.00,7.00,M
MLB,2024-01-02 02:53,210.00,7.00,M
MLB,2024-01-02 03:53,220.00,7.00,M
MLB,2024-01-02 04:53,230.00,7.00,M
MLB,2024-01-02 05:53,240.00,9.00,M
MLB,2024-01-02 06:53,260.00,6.00,M
MLB,2024-01-02 07:53,260.00,6.00,M
MLB,2024-01-02 08:53,280.00,6.00,M
MLB,2024-01-02 09:53,310.00,7.00,M
MLB,2024-01-02 10:53,320.00,6.00,M
MLB,2024-01-02 11:53,330.00,7.00,M
MLB,2024-01-02 12:53,340.00,11.00,M
MLB,2024-01-02 13:53,340.00,10.00,M
MLB,2024-01-02 14:53,350.00,13.00,M
MLB,2024-01-02 15:53,360.00,11.00,M
MLB,2024-01-02 16:53,350.00,8.00,M
MLB,2024-01-02 17:53,360.00,10.00,M
MLB,2024-01-02 18:53,20.00,11.00,M
MLB,2024-01-02 19:53,360.00,10.00,M
MLB,2024-01-02 20:53,10.00,8.00,M
MLB,2024-01-02 21:53,360.00,8.00,M
MLB,2024-01-02 22:53,350.00,6.00,M
MLB,2024-01-02 23:53,330.00,7.00,M
MLB,2024-01-03 00:53,330.00,6.00,M
MLB,2024-01-03 01:53,310.00,7.00,M
MLB,2024-01-03 02:53,290.00,5.00,M
MLB,2024-01-03 03:53,310.00,7.00,M
MLB,2024-01-03 04:53,300.00,7.00,M
MLB,2024-01-03 05:53,320.00,6.00,M
MLB,2024-01-03 06:53,300.00,5.00,M
MLB,2024-01-03 07:53,290.00,4.00,M
MLB,2024-01-03 08:53,310.00,5.00,M
MLB,2024-01-03 09:53,290.00,4.00,M
MLB,2024-01-03 10:53,280.00,4.00,M
MLB,2024-01-03 11:53,280.00,4.00,M
